Reading,Load [N],Distance [mm],Time [s],Strain
1,0,-0.01,0,-0.0001
2,0,-0.01,0.1,-0.0001
3,-0.16,0.28,0.2,0.0028
4,-0.2,0.69,0.3,0.0069
5,-0.28,1.11,0.4,0.0111
6,-0.4,1.55,0.5,0.0155
7,-0.5,1.97,0.6,0.0197
8,-0.6,2.39,0.7,0.0239
9,-0.74,2.81,0.8,0.0281
10,-0.82,3.23,0.9,0.0323
11,-0.94,3.67,1,0.0367
12,-1.06,4.1,1.1,0.041
13,-1.18,4.52,1.2,0.0452
14,-1.28,4.95,1.3,0.0495
15,-1.32,5.36,1.4,0.0536
16,-1.46,5.79,1.5,0.0579
17,-1.62,6.21,1.6,0.0621
18,-1.74,6.64,1.7,0.0664
19,-1.76,7.07,1.8,0.0707
20,-1.88,7.49,1.9,0.0749
21,-2.02,7.92,2,0.0792
22,-2.1,8.34,2.1,0.0834
23,-2.24,8.77,2.2,0.0877
24,-2.26,9.19,2.3,0.0919
25,-2.32,9.62,2.4,0.0962
26,-2.48,10.04,2.5,0.1004
27,-2.54,10.47,2.6,0.1047
28,-2.58,10.89,2.7,0.1089
29,-2.72,11.32,2.8,0.1132
30,-2.82,11.74,2.9,0.1174
31,-2.88,12.17,3,0.1217
32,-2.98,12.59,3.1,0.1259
33,-3.04,13.01,3.2,0.1301
34,-3.12,13.45,3.3,0.1345
35,-3.2,13.87,3.4,0.1387
36,-3.22,14.29,3.5,0.1429
37,-3.36,14.72,3.6,0.1472
38,-3.5,15.14,3.7,0.1514
39,-3.54,15.57,3.8,0.1557
40,-3.6,16,3.9,0.16
41,-3.66,16.41,4,0.1641
42,-3.76,16.84,4.1,0.1684
43,-3.84,17.26,4.2,0.1726
44,-3.92,17.69,4.3,0.1769
45,-3.96,18.11,4.4,0.1811
46,-4.02,18.54,4.5,0.1854
47,-4.1,18.96,4.6,0.1896
48,-4.16,19.4,4.7,0.194
49,-4.22,19.82,4.8,0.1982
50,-4.3,20.25,4.9,0.2025
51,-4.42,20.66,5,0.2066
52,-4.46,21.09,5.1,0.2109
53,-4.56,21.52,5.2,0.2152
54,-4.52,21.95,5.3,0.2195
55,-4.64,22.37,5.4,0.2237
56,-4.74,22.8,5.5,0.228
57,-4.76,23.22,5.6,0.2322
58,-4.84,23.64,5.7,0.2364
59,-4.88,24.07,5.8,0.2407
60,-4.92,24.5,5.9,0.245
61,-4.96,24.92,6,0.2492
62,-5,25.35,6.1,0.2535
63,-5.1,25.77,6.2,0.2577
64,-5.22,26.2,6.3,0.262
65,-5.24,26.62,6.4,0.2662
66,-5.32,27.05,6.5,0.2705
67,-5.36,27.48,6.6,0.2748
68,-5.44,27.91,6.7,0.2791
69,-5.48,28.33,6.8,0.2833
70,-5.56,28.75,6.9,0.2875
71,-5.6,29.17,7,0.2917
72,-5.66,29.6,7.1,0.296
73,-5.72,30.02,7.2,0.3002
74,-5.72,30.46,7.3,0.3046
75,-5.78,30.88,7.4,0.3088
76,-5.84,31.3,7.5,0.313
77,-5.92,31.72,7.6,0.3172
78,-6,32.15,7.7,0.3215
79,-6.02,32.59,7.8,0.3259
80,-6.04,33.01,7.9,0.3301
81,-6.1,33.42,8,0.3342
82,-6.2,33.85,8.1,0.3385
83,-6.24,34.27,8.2,0.3427
84,-6.26,34.7,8.3,0.347
85,-6.3,35.12,8.4,0.3512
86,-6.36,35.56,8.5,0.3556
87,-6.4,35.98,8.6,0.3598
88,-6.44,36.41,8.7,0.3641
89,-6.48,36.83,8.8,0.3683
90,-6.6,37.26,8.9,0.3726
91,-6.54,37.68,9,0.3768
92,-6.64,38.11,9.1,0.3811
93,-6.74,38.53,9.2,0.3853
94,-6.7,38.96,9.3,0.3896
95,-6.78,39.38,9.4,0.3938
96,-6.86,39.81,9.5,0.3981
97,-6.88,40.23,9.6,0.4023
98,-6.94,40.67,9.7,0.4067
99,-6.96,41.09,9.8,0.4109
100,-7,41.51,9.9,0.4151
101,-7.06,41.94,10,0.4194
102,-7.14,42.36,10.1,0.4236
103,-7.18,42.78,10.2,0.4278
104,-7.22,43.21,10.3,0.4321
105,-7.24,43.63,10.4,0.4363
106,-7.26,44.06,10.5,0.4406
107,-7.3,44.49,10.6,0.4449
108,-7.34,44.91,10.7,0.4491
109,-7.42,45.34,10.8,0.4534
110,-7.42,45.77,10.9,0.4577
111,-7.48,46.2,11,0.462
112,-7.54,46.62,11.1,0.4662
113,-7.58,47.05,11.2,0.4705
114,-7.6,47.47,11.3,0.4747
115,-7.62,47.9,11.4,0.479
116,-7.68,48.32,11.5,0.4832
117,-7.7,48.75,11.6,0.4875
118,-7.76,49.17,11.7,0.4917
119,-7.74,49.6,11.8,0.496
120,-7.84,50.02,11.9,0.5002
121,-7.82,50.44,12,0.5044
122,-7.84,50.86,12.1,0.5086
123,-7.88,51.3,12.2,0.513
124,-7.94,51.72,12.3,0.5172
125,-8,52.15,12.4,0.5215
126,-8.04,52.57,12.5,0.5257
127,-8.04,53,12.6,0.53
128,-8.04,53.42,12.7,0.5342
129,-8.2,53.85,12.8,0.5385
130,-8.2,54.27,12.9,0.5427
131,-8.16,54.7,13,0.547
132,-8.28,55.12,13.1,0.5512
133,-8.26,55.55,13.2,0.5555
134,-8.3,55.97,13.3,0.5597
135,-8.36,56.4,13.4,0.564
136,-8.36,56.82,13.5,0.5682
137,-8.46,57.25,13.6,0.5725
138,-8.46,57.67,13.7,0.5767
139,-8.5,58.1,13.8,0.581
140,-8.52,58.53,13.9,0.5853
141,-8.56,58.95,14,0.5895
142,-8.58,59.38,14.1,0.5938
143,-8.6,59.8,14.2,0.598
144,-8.74,60.23,14.3,0.6023
145,-8.68,60.65,14.4,0.6065
146,-8.72,61.08,14.5,0.6108
147,-8.76,61.5,14.6,0.615
148,-8.78,61.93,14.7,0.6193
149,-8.84,62.35,14.8,0.6235
150,-8.86,62.78,14.9,0.6278
151,-8.9,63.2,15,0.632
152,-8.94,63.64,15.1,0.6364
153,-8.98,64.06,15.2,0.6406
154,-8.92,64.48,15.3,0.6448
155,-8.98,64.9,15.4,0.649
156,-9.1,65.34,15.5,0.6534
157,-9.04,65.76,15.6,0.6576
158,-9.08,66.19,15.7,0.6619
159,-9.14,66.61,15.8,0.6661
160,-9.2,67.03,15.9,0.6703
161,-9.24,67.46,16,0.6746
162,-9.2,67.89,16.1,0.6789
163,-9.32,68.31,16.2,0.6831
164,-9.32,68.73,16.3,0.6873
165,-9.4,69.15,16.4,0.6915
166,-9.34,69.59,16.5,0.6959
167,-9.36,70.01,16.6,0.7001
168,-9.42,70.44,16.7,0.7044
169,-9.4,70.87,16.8,0.7087
170,-9.5,71.29,16.9,0.7129
171,-9.54,71.71,17,0.7171
172,-9.52,72.14,17.1,0.7214
173,-9.6,72.57,17.2,0.7257
174,-9.58,72.99,17.3,0.7299
175,-9.64,73.42,17.4,0.7342
176,-9.72,73.84,17.5,0.7384
177,-9.74,74.27,17.6,0.7427
178,-9.74,74.69,17.7,0.7469
179,-9.76,75.12,17.8,0.7512
180,-9.78,75.54,17.9,0.7554
181,-9.82,75.96,18,0.7596
182,-9.86,76.39,18.1,0.7639
183,-9.88,76.82,18.2,0.7682
184,-9.94,77.24,18.3,0.7724
185,-9.96,77.68,18.4,0.7768
186,-9.94,78.1,18.5,0.781
187,-9.94,78.52,18.6,0.7852
188,-9.96,78.94,18.7,0.7894
189,-10.04,79.36,18.8,0.7936
190,-10.04,79.79,18.9,0.7979
191,-10.14,80.22,19,0.8022
192,-10.12,80.65,19.1,0.8065
193,-10.14,81.08,19.2,0.8108
194,-10.22,81.5,19.3,0.815
195,-10.14,81.93,19.4,0.8193
196,-10.26,82.35,19.5,0.8235
197,-10.26,82.77,19.6,0.8277
198,-10.3,83.19,19.7,0.8319
199,-10.36,83.62,19.8,0.8362
200,-10.32,84.05,19.9,0.8405
201,-10.36,84.47,20,0.8447
202,-10.46,84.89,20.1,0.8489
203,-10.48,85.32,20.2,0.8532
204,-10.52,85.74,20.3,0.8574
205,-10.52,86.17,20.4,0.8617
206,-10.52,86.6,20.5,0.866
207,-10.56,87.02,20.6,0.8702
208,-10.56,87.46,20.7,0.8746
209,-10.58,87.88,20.8,0.8788
210,-10.62,88.31,20.9,0.8831
211,-10.64,88.73,21,0.8873
212,-10.66,89.16,21.1,0.8916
213,-10.7,89.58,21.2,0.8958
214,-10.72,90.01,21.3,0.9001
215,-10.72,90.43,21.4,0.9043
216,-10.76,90.86,21.5,0.9086
217,-10.86,91.28,21.6,0.9128
218,-10.78,91.71,21.7,0.9171
219,-10.82,92.14,21.8,0.9214
220,-10.86,92.56,21.9,0.9256
221,-10.9,92.98,22,0.9298
222,-11,93.42,22.1,0.9342
223,-11,93.84,22.2,0.9384
224,-10.98,94.27,22.3,0.9427
225,-11.02,94.68,22.4,0.9468
226,-11.04,95.11,22.5,0.9511
227,-11.08,95.53,22.6,0.9553
228,-11.02,95.96,22.7,0.9596
229,-11.1,96.39,22.8,0.9639
230,-11.16,96.81,22.9,0.9681
231,-11.12,97.23,23,0.9723
232,-11.18,97.66,23.1,0.9766
233,-11.18,98.09,23.2,0.9809
234,-11.18,98.51,23.3,0.9851
235,-11.26,98.94,23.4,0.9894
236,-11.28,99.36,23.5,0.9936
237,-11.34,99.79,23.6,0.9979
238,-11.3,100.21,23.7,1.0021
239,-11.32,100.64,23.8,1.0064
240,-11.3,101.06,23.9,1.0106
241,-11.3,101.49,24,1.0149
242,-11.4,101.91,24.1,1.0191
243,-11.4,102.34,24.2,1.0234
244,-11.42,102.77,24.3,1.0277
245,-11.46,103.19,24.4,1.0319
246,-11.42,103.62,24.5,1.0362
247,-11.48,104.05,24.6,1.0405
248,-11.56,104.48,24.7,1.0448
249,-11.54,104.9,24.8,1.049
250,-11.6,105.32,24.9,1.0532
251,-11.6,105.75,25,1.0575
252,-11.64,106.18,25.1,1.0618
253,-11.64,106.59,25.2,1.0659
254,-11.62,107.02,25.3,1.0702
255,-11.68,107.45,25.4,1.0745
256,-11.76,107.87,25.5,1.0787
