ID,WL(nm),Abs.,%T
1,700,-0.318983,208.4407
2,695,-0.319574,208.7248
3,690,-0.320165,209.0088
4,685,-0.320509,209.1744
5,680,-0.320474,209.1578
6,675,-0.320947,209.3855
7,670,-0.321205,209.5101
8,665,-0.321213,209.5139
9,660,-0.321142,209.4797
10,655,-0.625726,422.4025
11,650,-0.625749,422.4247
12,645,-0.625508,422.1901
13,640,-0.625209,421.8998
14,635,-0.625194,421.8848
15,630,-0.62504,421.7356
16,625,-0.624535,421.2448
17,620,-0.62442,421.1333
18,615,-0.624236,420.9551
19,610,-0.623932,420.661
20,605,-0.623351,420.0982
21,600,-0.622498,419.2736
22,595,-0.622455,419.2326
23,590,-0.625062,421.7565
24,585,-0.626928,423.5731
25,580,-0.626133,422.7983
26,575,-0.625537,422.2183
27,570,-0.624939,421.6375
28,565,-0.624013,420.7391
29,560,-0.623409,420.1549
30,555,-0.319765,208.8165
31,550,-0.319723,208.7962
32,545,-0.319932,208.897
33,540,-0.624414,421.1276
34,535,-0.627199,423.8369
35,530,-0.627602,424.2303
36,525,-0.627469,424.1004
37,520,-0.627808,424.4319
38,515,-0.627986,424.6055
39,510,-0.628074,424.6923
40,505,-0.628117,424.7336
41,500,-0.628529,425.1374
42,495,-0.628977,425.576
43,490,-0.629284,425.8771
44,485,-0.943108,877.2187
45,480,-0.636159,432.6723
46,475,-0.637293,433.8032
47,470,-0.638134,434.6443
48,465,-0.638862,435.3733
49,460,-0.640014,436.5302
50,455,-0.641053,437.5753
51,450,-0.642098,438.6296
52,445,-0.330347,213.9669
53,440,-0.330565,214.0747
54,435,-0.330513,214.0487
55,430,-0.330197,213.893
56,425,-0.33002,213.8063
57,420,-0.330252,213.9204
58,415,-0.330523,214.0539
59,410,-0.63461,431.1319
60,405,-0.637462,433.9727
61,400,-0.640573,437.0926
62,395,-0.644166,440.7236
63,390,-0.977516,949.5462
64,385,-1,1000
65,380,-1,1000
66,375,-1,1000
67,370,5,0
68,365,5,0
69,360,5,0
70,355,5,0
71,350,5,0
