ID,WL(nm),Abs.,%T
1,750,0.180269,66.0284066666667
2,745,0.18201,65.7642346666667
3,740,0.184088,65.4503944888889
4,735,0.186388,65.1046701866667
5,730,0.188806,64.7431399691852
6,725,0.191271,64.3766773520593
7,720,0.193804,64.0024341329699
8,715,0.196345,63.6290238068685
9,710,0.198928,63.2516293124364
10,705,0.201592,62.8648023700697
11,700,0.204326,62.4703510490055
12,695,0.207079,62.0756038591437
13,690,0.209953,61.6661075783628
14,685,0.212839,61.2577420302251
15,680,0.215776,60.8448694164934
16,675,0.218679,60.4395794873287
17,670,0.221718,60.0180984863315
18,665,0.224865,59.5846769622435
19,660,0.228056,59.1484951906262
20,655,0.231246,58.7157092997577
21,650,0.234498,58.277594552035
22,645,0.237814,57.834353483708
23,640,0.241164,57.3899833036796
24,635,0.244628,56.9340371252303
25,630,0.248202,56.4673718655367
26,625,0.251856,55.9942926564714
27,620,0.25543,55.5354614466992
28,615,0.25908,55.0706713102027
29,610,0.262718,54.6112224549338
30,605,0.266501,54.1375873323471
31,600,0.270376,53.6566871271273
32,595,0.274554,53.1430024030717
33,590,0.278883,52.6159120975646
34,585,0.283281,52.0857094065892
35,580,0.287539,51.5776234943265
36,575,0.291856,51.0674726197438
37,570,0.296323,50.544870989859
38,565,0.300965,50.0074972139376
39,560,0.305594,49.4773555747687
40,555,0.310354,48.9379240768121
41,550,0.315091,48.4070788919982
42,545,0.319873,47.8770456553079
43,540,0.324747,47.3426463166614
44,535,0.329843,46.7903753507067
45,530,0.335133,46.2239212456962
46,525,0.340676,45.6377742959001
47,520,0.346213,45.0596110252729
48,515,0.351942,44.4690187778413
49,510,0.357711,43.882218558938
50,505,0.363535,43.2976995488331
51,500,0.36947,42.709995717625
52,495,0.37579,42.0929724167028
53,490,0.382573,41.4406805790239
54,485,0.389705,40.7656657713651
55,480,0.396778,40.1071638981429
56,475,0.403952,39.4501282158106
57,470,0.411145,38.8020941629145
58,465,0.418455,38.1544559280243
59,460,0.426035,37.4942437406601
60,455,0.434184,36.7972962052019
61,450,0.442833,36.0717384064617
62,445,0.451745,35.3390671753193
63,440,0.460462,34.6367985559254
64,435,0.469416,33.9300020012277
65,430,0.478411,33.2344668743689
66,425,0.487439,32.5507869750375
67,420,0.49644,31.88308631159
68,415,0.505608,31.217042192323
69,410,0.514304,30.5982266133433
70,405,0.52213,30.0517642816451
71,400,0.529098,29.5734497381081
72,395,0.535436,29.1449851851743
73,390,0.541517,28.7397436687826
74,385,0.547829,28.3250400917798
75,380,0.554909,27.867080507527
76,375,0.563983,27.2908347804094
77,370,0.575323,26.5874643570855
78,365,0.589145,25.754637508805
79,360,0.603809,24.8995294160391
80,355,0.615501,24.2381175510485
81,350,0.625146,23.7057674323482
